sl_no,timestamp,hour,min,active_window,keystrokes,mouse_clicks,label
1,2025-08-11 19:02:43,19,2,labeler.py - DisTrack - Visual Studio Code,33,7,Focused
2,2025-08-11 19:07:43,19,7,Streamlit bulk labeler - Brave,237,5,Focused
3,2025-08-11 19:12:43,19,12,Streamlit bulk labeler - Brave,110,3,Focused
4,2025-08-11 19:17:43,19,17,● labeler.py - DisTrack - Visual Studio Code,61,5,Neutral
5,2025-08-11 19:22:43,19,22,Streamlit bulk labeler - Brave,428,2,Neutral
6,2025-08-11 19:28:14,19,28,Streamlit bulk labeler - Brave,125,24,Neutral
7,2025-08-11 19:33:14,19,33,Streamlit bulk labeler - Brave,538,2,Distracted
8,2025-08-11 19:38:14,19,38,● labeler.py - DisTrack - Visual Studio Code,517,14,Distracted
9,2025-08-11 19:43:14,19,43,● labeler.py - DisTrack - Visual Studio Code,149,23,Distracted
